campaign_id,channel,spend_usd,impressions,clicks,installs,signups,first_purchase,repeat_purchase,revenue_usd,seo_category,avg_position,monthly_search_volume,conversion_rate,ctr,install_rate,signup_rate,first_purchase_rate,repeat_purchase_rate,cac,roas,cpc,cpi,ltv_estimate,retention_rate,funnel_efficiency,seo_opportunity_score
CAMP_001,Instagram Influencer,1613.32,18986,3827,933,433,55,325,7145.37,Home Decor,40.4,47732,2.88,0.20156957758348257,0.2437940945910635,0.4640943193997856,0.12702078521939955,5.909090909090909,3.7259122401847575,4.428984950288846,0.4215625816566501,1.7291747052518756,129.91581818181817,5.909090909090909,0.2553922545802287,3402.6772277227724
CAMP_002,Organic Search,559.41,17666,1563,247,181,382,268,1814.35,Astrology Services,14.8,40081,2.46,0.08847503679384128,0.1580294305822137,0.7327935222672065,2.110497237569061,0.7015706806282722,3.090662983425414,3.2433277917806262,0.35790786948176584,2.264817813765182,4.749607329842932,0.7015706806282722,0.8735499168418416,6662.112162162161
CAMP_003,Meta Ads,1125.62,43660,2181,1031,83,527,498,1761.08,Supplements,9.7,28569,4.11,0.04995419147961521,0.47271893626776706,0.08050436469447139,6.349397590361446,0.9449715370018975,13.56168674698795,1.564542207849896,0.5161027051811096,1.0917749757516972,3.341707779886148,0.9449715370018975,2.053115940644916,12105.009278350517
CAMP_004,Instagram Influencer,1266.35,8561,1863,801,1173,108,404,9710.6,Skin Care,37.8,24322,4.9,0.2176147646303002,0.42995169082125606,1.4644194756554307,0.09207161125319693,3.740740740740741,1.0795822676896845,7.668180202945474,0.6797369833601717,1.5809612983770287,89.91296296296296,3.740740740740741,0.5447372279211907,3152.8518518518526
CAMP_005,Instagram Influencer,283.61,31854,1729,193,657,754,146,7288.65,Astrology Services,40.5,20065,3.0,0.05427889746970553,0.11162521688837479,3.4041450777202074,1.147640791476408,0.19363395225464192,0.43167427701674277,25.69955220196749,0.16403123192596877,1.4694818652849742,9.666644562334216,0.19363395225464192,1.234090590589009,1486.2962962962963
CAMP_006,Organic Search,1293.58,43952,2238,658,616,46,464,890.14,Fitness Gear,49.5,18924,1.95,0.05091918456497998,0.2940125111706881,0.9361702127659575,0.07467532467532467,10.08695652173913,2.099967532467532,0.6881213376830192,0.5780071492403932,1.9659270516717324,19.35086956521739,10.08695652173913,0.34013211529975484,745.4909090909091
CAMP_007,Meta Ads,506.94,27662,3502,1274,133,289,375,4288.8,Astrology Services,21.2,23556,0.7,0.12659966741378065,0.36379211878926326,0.1043956043956044,2.172932330827068,1.2975778546712802,3.811578947368421,8.460172801514972,0.14475728155339807,0.39791208791208793,14.8401384083045,1.2975778546712802,0.7942465635270933,777.7924528301886
CAMP_008,Meta Ads,317.09,13392,2437,1197,283,358,475,4618.45,Astrology Services,19.2,27962,4.66,0.18197431302270012,0.491177677472302,0.23642439431913115,1.265017667844523,1.3268156424581006,1.120459363957597,14.56510769812987,0.1301148953631514,0.2649039264828738,12.900698324022345,1.3268156424581006,0.5978006809057552,6786.610416666667
CAMP_009,Instagram Influencer,1907.99,35535,1506,236,1165,506,147,7568.41,Supplements,39.0,29295,4.64,0.04238075137188687,0.15670650730411687,4.936440677966102,0.43433476394849785,0.29051383399209485,1.6377596566523605,3.9666926975508257,1.266925630810093,8.084703389830509,14.957332015810277,0.29051383399209485,1.4120633757764813,3485.353846153846
CAMP_010,Google Ads,1938.14,18067,4229,1399,539,311,96,2883.18,Fitness Gear,17.7,14807,1.64,0.2340731720816959,0.3308110664459683,0.38527519656897785,0.5769944341372912,0.3086816720257235,3.5958070500927644,1.487601514854448,0.45829746985102865,1.3853752680486062,9.270675241157555,0.3086816720257235,0.3989345304112631,1371.94802259887
